date,code_usine,code_produit,qte_produite,qte_rebut
2024-01-01,U01,P005,7809,150
2024-01-01,U01,P004,7209,303
2024-01-01,U01,P007,9278,405
2024-01-01,U01,P011,7014,117
2024-01-01,U02,P008,6892,129
2024-01-01,U02,P010,5737,177
2024-01-01,U02,P007,7953,166
2024-01-01,U02,P002,1935,52
2024-01-01,U03,P004,3083,87
2024-01-01,U03,P006,7564,101
2024-01-01,U03,P011,8147,155
2024-01-01,U03,P010,5629,241
2024-01-01,U03,P012,6091,168
2024-01-01,U03,P009,9557,185
2024-01-01,U04,P004,7143,81
2024-01-01,U04,P005,6266,95
2024-01-01,U04,P007,7236,280
2024-01-01,U04,P009,4876,118
2024-01-01,U05,P011,7583,279
2024-01-01,U05,P001,6450,61
2024-01-01,U05,P004,5669,223
2024-01-01,U05,P008,6613,152
2024-01-01,U05,P007,8962,313
2024-01-01,U05,P006,5208,96
2024-01-01,U06,P003,10474,395
2024-01-01,U06,P008,6232,225
2024-01-01,U06,P009,7439,72
2024-01-01,U06,P001,4786,101
2024-01-01,U06,P002,3532,131
2024-01-01,U06,P010,8791,120
2024-01-01,U06,P011,5300,69
2024-01-01,U07,P008,5741,256
2024-01-01,U07,P012,8349,123
2024-01-01,U07,P002,5721,79
2024-01-01,U07,P001,4120,72
2024-01-01,U07,P006,6956,166
2024-01-01,U07,P009,6836,190
2024-01-01,U07,P005,10596,213
2024-01-01,U08,P007,12995,436
2024-01-01,U08,P004,7177,128
2024-01-01,U08,P002,4296,160
2024-01-01,U08,P009,11804,508
2024-01-01,U08,P001,9027,358
2024-01-08,U01,P010,5023,108
2024-01-08,U01,P008,5076,77
2024-01-08,U01,P003,7105,298
2024-01-08,U01,P001,7374,252
2024-01-08,U01,P007,7452,255
2024-01-08,U02,P005,8874,330
2024-01-08,U02,P012,4572,56
2024-01-08,U02,P008,7966,315
2024-01-08,U02,P002,5129,115
2024-01-08,U02,P001,8433,127
2024-01-08,U02,P007,8031,237
2024-01-08,U02,P006,3873,146
2024-01-08,U03,P006,8979,155
2024-01-08,U03,P001,9304,188
2024-01-08,U03,P003,6891,128
2024-01-08,U03,P007,2057,26
2024-01-08,U03,P010,7392,198
2024-01-08,U03,P012,6638,210
2024-01-08,U03,P011,8694,297
2024-01-08,U04,P010,8913,376
2024-01-08,U04,P001,6856,151
2024-01-08,U04,P006,11450,269
2024-01-08,U04,P008,6177,84
2024-01-08,U04,P002,7489,289
2024-01-08,U05,P004,6571,130
2024-01-08,U05,P001,1927,85
2024-01-08,U05,P007,6237,212
2024-01-08,U05,P006,7439,128
2024-01-08,U05,P011,3770,69
2024-01-08,U06,P002,8134,275
2024-01-08,U06,P004,6960,205
2024-01-08,U06,P006,9582,314
2024-01-08,U06,P012,10155,417
2024-01-08,U06,P005,4416,39
2024-01-08,U07,P002,3080,62
2024-01-08,U07,P001,6829,242
2024-01-08,U07,P004,4068,70
2024-01-08,U07,P011,8515,227
2024-01-08,U07,P007,5215,109
2024-01-08,U07,P012,2723,29
2024-01-08,U08,P012,6902,305
2024-01-08,U08,P006,4930,126
2024-01-08,U08,P007,4559,40
2024-01-08,U08,P004,6400,160
2024-01-08,U08,P005,7542,335
2024-01-08,U08,P003,7576,68
2024-01-08,U08,P009,8031,340
2024-01-15,U01,P003,5875,208
2024-01-15,U01,P010,11636,158
2024-01-15,U01,P004,7514,273
2024-01-15,U01,P002,7737,65
2024-01-15,U01,P012,10799,169
2024-01-15,U01,P009,9134,288
