date,code_produit,code_usine,stock_qte,stock_valeur
2024-01-01,P004,U01,1693,8253.38
2024-01-01,P005,U01,951,3851.55
2024-01-01,P010,U01,1791,4298.4
2024-01-01,P012,U01,2533,9308.78
2024-01-01,P007,U01,2222,20831.25
2024-01-01,P002,U02,1150,3622.5
2024-01-01,P009,U02,1778,6134.1
2024-01-01,P010,U02,4062,9748.8
2024-01-01,P005,U02,3143,12729.15
2024-01-01,P007,U02,0,0.0
2024-01-01,P012,U03,2641,9705.68
2024-01-01,P003,U03,1587,9283.95
2024-01-01,P006,U03,3088,13664.4
2024-01-01,P008,U03,1673,4768.05
2024-01-01,P002,U03,4198,13223.7
2024-01-01,P005,U03,1890,7654.5
2024-01-01,P006,U04,3034,13425.45
2024-01-01,P010,U04,2183,5239.2
2024-01-01,P007,U04,3073,28809.38
2024-01-01,P004,U04,2974,14498.25
2024-01-01,P001,U04,202,1045.35
2024-01-01,P004,U05,2578,12567.75
2024-01-01,P001,U05,3868,20016.9
2024-01-01,P011,U05,1553,2911.88
2024-01-01,P005,U05,4951,20051.55
2024-01-01,P002,U05,3684,11604.6
2024-01-01,P012,U05,1897,6971.48
2024-01-01,P004,U06,2371,11558.62
2024-01-01,P007,U06,2450,22968.75
2024-01-01,P005,U06,3830,15511.5
2024-01-01,P001,U06,2146,11105.55
2024-01-01,P006,U06,939,4155.08
2024-01-01,P009,U06,1780,6141.0
2024-01-01,P008,U07,2770,7894.5
2024-01-01,P007,U07,2267,21253.12
2024-01-01,P011,U07,3336,6255.0
2024-01-01,P002,U07,0,0.0
2024-01-01,P012,U07,1609,5913.08
2024-01-01,P005,U07,3081,12478.05
2024-01-01,P011,U08,5138,9633.75
2024-01-01,P005,U08,1578,6390.9
2024-01-01,P004,U08,1353,6595.88
2024-01-01,P012,U08,2250,8268.75
2024-01-01,P010,U08,3023,7255.2
2024-01-01,P002,U08,4027,12685.05
2024-01-01,P006,U08,2360,10443.0
2024-01-08,P010,U01,2215,5316.0
2024-01-08,P009,U01,3783,13051.35
2024-01-08,P002,U01,2213,6970.95
2024-01-08,P005,U01,4761,19282.05
2024-01-08,P006,U01,3185,14093.62
2024-01-08,P001,U01,2010,10401.75
2024-01-08,P012,U01,2602,9562.35
2024-01-08,P003,U01,3374,19737.9
2024-01-08,P009,U02,2280,7866.0
2024-01-08,P005,U02,4038,16353.9
2024-01-08,P010,U02,4501,10802.4
2024-01-08,P007,U02,2269,21271.88
2024-01-08,P004,U02,2272,11076.0
2024-01-08,P002,U02,3745,11796.75
2024-01-08,P008,U02,269,766.65
2024-01-08,P005,U03,3400,13770.0
2024-01-08,P004,U03,2342,11417.25
2024-01-08,P003,U03,2402,14051.7
2024-01-08,P008,U03,4813,13717.05
2024-01-08,P001,U03,2263,11711.03
2024-01-08,P007,U03,3781,35446.88
2024-01-08,P002,U03,2248,7081.2
2024-01-08,P008,U04,2688,7660.8
2024-01-08,P002,U04,0,0.0
2024-01-08,P012,U04,0,0.0
2024-01-08,P003,U04,2102,12296.7
2024-01-08,P001,U04,3466,17936.55
2024-01-08,P010,U04,2679,6429.6
2024-01-08,P004,U04,2150,10481.25
2024-01-08,P008,U05,1389,3958.65
2024-01-08,P003,U05,1741,10184.85
2024-01-08,P005,U05,6,24.3
2024-01-08,P011,U05,2117,3969.38
2024-01-08,P007,U05,1784,16725.0
2024-01-08,P001,U06,2974,15390.45
2024-01-08,P005,U06,5404,21886.2
2024-01-08,P003,U06,3352,19609.2
2024-01-08,P009,U06,1913,6599.85
2024-01-08,P011,U06,1872,3510.0
2024-01-08,P007,U06,4742,44456.25
2024-01-08,P010,U06,1977,4744.8
2024-01-08,P004,U06,2044,9964.5
2024-01-08,P008,U07,2929,8347.65
2024-01-08,P001,U07,3430,17750.25
2024-01-08,P007,U07,3019,28303.12
2024-01-08,P004,U07,2238,10910.25
2024-01-08,P006,U07,0,0.0
2024-01-08,P008,U08,1957,5577.45
2024-01-08,P010,U08,4098,9835.2
2024-01-08,P012,U08,1093,4016.78
2024-01-08,P009,U08,1564,5395.8
2024-01-08,P011,U08,1669,3129.38
2024-01-08,P007,U08,6273,58809.38
2024-01-08,P006,U08,3663,16208.78
2024-01-15,P007,U01,3518,32981.25
2024-01-15,P003,U01,3522,20603.7
2024-01-15,P009,U01,1220,4209.0
2024-01-15,P010,U01,2452,5884.8
2024-01-15,P005,U01,681,2758.05
2024-01-15,P012,U01,2752,10113.6
2024-01-15,P007,U02,5011,46978.12
2024-01-15,P011,U02,883,1655.62
2024-01-15,P010,U02,395,948.0
2024-01-15,P008,U02,2846,8111.1
2024-01-15,P004,U02,3869,18861.38
2024-01-15,P010,U03,4057,9736.8
2024-01-15,P002,U03,1223,3852.45
2024-01-15,P003,U03,2386,13958.1
2024-01-15,P006,U03,1246,5513.55
2024-01-15,P009,U03,3765,12989.25
2024-01-15,P012,U03,4669,17158.58
2024-01-15,P011,U03,2490,4668.75
2024-01-15,P007,U03,2457,23034.38
2024-01-15,P005,U04,2447,9910.35
2024-01-15,P012,U04,3510,12899.25
2024-01-15,P006,U04,1235,5464.88
2024-01-15,P002,U04,2920,9198.0
2024-01-15,P007,U04,0,0.0
2024-01-15,P009,U04,2834,9777.3
2024-01-15,P011,U04,1949,3654.38
2024-01-15,P008,U04,3141,8951.85
2024-01-15,P006,U05,237,1048.73
2024-01-15,P011,U05,0,0.0
2024-01-15,P002,U05,3119,9824.85
2024-01-15,P012,U05,1154,4240.95
2024-01-15,P004,U05,3684,17959.5
2024-01-15,P009,U06,2954,10191.3
2024-01-15,P002,U06,4247,13378.05
2024-01-15,P006,U06,2164,9575.7
2024-01-15,P008,U06,1688,4810.8
2024-01-15,P003,U06,2831,16561.35
2024-01-15,P012,U06,2926,10753.05
2024-01-15,P004,U06,3392,16536.0
2024-01-15,P005,U06,3084,12490.2
2024-01-15,P001,U07,4066,21041.55
2024-01-15,P003,U07,2823,16514.55
2024-01-15,P006,U07,773,3420.53
2024-01-15,P005,U07,2877,11651.85
2024-01-15,P009,U07,0,0.0
2024-01-15,P012,U07,0,0.0
2024-01-15,P002,U07,3191,10051.65
2024-01-15,P010,U07,2332,5596.8
2024-01-15,P009,U08,1404,4843.8
2024-01-15,P008,U08,2463,7019.55
2024-01-15,P012,U08,3527,12961.73
2024-01-15,P010,U08,2948,7075.2
2024-01-15,P001,U08,2842,14707.35
2024-01-15,P003,U08,2872,16801.2
2024-01-15,P002,U08,1222,3849.3
2024-01-15,P006,U08,1907,8438.48
2024-01-22,P004,U01,1471,7171.12
2024-01-22,P003,U01,4201,24575.85
2024-01-22,P001,U01,1553,8036.78
2024-01-22,P005,U01,3266,13227.3
2024-01-22,P009,U01,1768,6099.6
2024-01-22,P008,U01,3563,10154.55
2024-01-22,P002,U01,1518,4781.7
2024-01-22,P010,U01,0,0.0
2024-01-22,P011,U02,3058,5733.75
2024-01-22,P010,U02,3351,8042.4
2024-01-22,P008,U02,2557,7287.45
2024-01-22,P005,U02,1653,6694.65
2024-01-22,P009,U02,0,0.0
2024-01-22,P001,U02,3248,16808.4
2024-01-22,P003,U02,186,1088.1
2024-01-22,P007,U03,0,0.0
2024-01-22,P002,U03,1309,4123.35
2024-01-22,P012,U03,2401,8823.68
2024-01-22,P004,U03,2136,10413.0
2024-01-22,P003,U03,3221,18842.85
2024-01-22,P010,U03,3757,9016.8
2024-01-22,P006,U03,2665,11792.63
2024-01-22,P006,U04,2424,10726.2
2024-01-22,P010,U04,4474,10737.6
2024-01-22,P002,U04,2399,7556.85
2024-01-22,P005,U04,1649,6678.45
2024-01-22,P003,U04,2760,16146.0
2024-01-22,P012,U05,1913,7030.28
2024-01-22,P010,U05,2397,5752.8
2024-01-22,P002,U05,2437,7676.55
2024-01-22,P003,U05,566,3311.1
2024-01-22,P008,U05,0,0.0
2024-01-22,P007,U05,0,0.0
2024-01-22,P001,U05,3459,17900.33
2024-01-22,P001,U06,2710,14024.25
2024-01-22,P010,U06,2846,6830.4
2024-01-22,P011,U06,1890,3543.75
2024-01-22,P002,U06,3810,12001.5
2024-01-22,P003,U06,2305,13484.25
2024-01-22,P012,U06,2934,10782.45
2024-01-22,P003,U07,940,5499.0
2024-01-22,P009,U07,2619,9035.55
2024-01-22,P005,U07,3820,15471.0
2024-01-22,P008,U07,3161,9008.85
2024-01-22,P011,U07,0,0.0
2024-01-22,P012,U07,3948,14508.9
2024-01-22,P001,U08,3915,20260.12
2024-01-22,P008,U08,1906,5432.1
2024-01-22,P005,U08,300,1215.0
2024-01-22,P004,U08,3363,16394.62
2024-01-22,P007,U08,971,9103.12
2024-01-22,P009,U08,2503,8635.35
2024-01-22,P010,U08,4455,10692.0
2024-01-22,P012,U08,4399,16166.33
2024-01-29,P002,U01,5084,16014.6
2024-01-29,P011,U01,1866,3498.75
2024-01-29,P001,U01,1261,6525.67
2024-01-29,P007,U01,1780,16687.5
2024-01-29,P005,U01,2284,9250.2
2024-01-29,P003,U01,3065,17930.25
2024-01-29,P006,U02,2105,9314.62
2024-01-29,P007,U02,1177,11034.38
2024-01-29,P004,U02,370,1803.75
2024-01-29,P011,U02,2486,4661.25
2024-01-29,P009,U02,1046,3608.7
2024-01-29,P006,U03,0,0.0
2024-01-29,P008,U03,1795,5115.75
2024-01-29,P012,U03,2135,7846.12
2024-01-29,P007,U03,206,1931.25
2024-01-29,P010,U03,2355,5652.0
2024-01-29,P009,U03,4351,15010.95
2024-01-29,P004,U03,2631,12826.12
2024-01-29,P011,U04,2542,4766.25
2024-01-29,P001,U04,2435,12601.12
2024-01-29,P006,U04,1239,5482.58
2024-01-29,P005,U04,2287,9262.35
2024-01-29,P003,U04,2702,15806.7
2024-01-29,P011,U05,4026,7548.75
2024-01-29,P005,U05,1974,7994.7
2024-01-29,P009,U05,1912,6596.4
2024-01-29,P006,U05,1495,6615.38
2024-01-29,P003,U05,0,0.0
2024-01-29,P010,U05,2843,6823.2
2024-01-29,P002,U05,3428,10798.2
2024-01-29,P012,U05,1805,6633.38
2024-01-29,P002,U06,2207,6952.05
2024-01-29,P007,U06,4073,38184.38
2024-01-29,P003,U06,3157,18468.45
2024-01-29,P006,U06,482,2132.85
2024-01-29,P001,U06,3695,19121.62
2024-01-29,P009,U06,2471,8524.95
2024-01-29,P011,U06,0,0.0
2024-01-29,P010,U06,3904,9369.6
2024-01-29,P012,U07,0,0.0
2024-01-29,P005,U07,3279,13279.95
2024-01-29,P001,U07,2507,12973.72
2024-01-29,P007,U07,2362,22143.75
2024-01-29,P011,U07,0,0.0
2024-01-29,P002,U07,2942,9267.3
2024-01-29,P009,U07,4986,17201.7
2024-01-29,P003,U07,888,5194.8
2024-01-29,P002,U08,3637,11456.55
2024-01-29,P008,U08,1584,4514.4
2024-01-29,P003,U08,1787,10453.95
2024-01-29,P005,U08,1995,8079.75
2024-01-29,P006,U08,0,0.0
2024-02-05,P012,U01,929,3414.08
2024-02-05,P010,U01,1322,3172.8
2024-02-05,P011,U01,0,0.0
2024-02-05,P002,U01,2895,9119.25
2024-02-05,P009,U01,2329,8035.05
2024-02-05,P004,U01,0,0.0
2024-02-05,P011,U02,4444,8332.5
2024-02-05,P012,U02,3328,12230.4
2024-02-05,P005,U02,2261,9157.05
2024-02-05,P009,U02,2562,8838.9
2024-02-05,P007,U02,2083,19528.12
2024-02-05,P001,U02,1373,7105.28
2024-02-05,P006,U02,4196,18567.3
2024-02-05,P012,U03,4774,17544.45
2024-02-05,P002,U03,1901,5988.15
