date,code_produit,code_usine,canal,quantite,CA,cout
2024-01-01,P012,U04,Export,185,902.23,665.36
2024-01-01,P006,U04,Export,140,807.4,575.94
2024-01-01,P006,U01,RHF,194,1119.22,787.81
2024-01-01,P001,U07,GMS,182,1160.61,1001.47
2024-01-01,P004,U04,Industrie,133,783.75,617.3
2024-01-01,P010,U02,GMS,160,470.03,348.44
2024-01-01,P005,U06,GMS,102,519.76,362.45
2024-01-01,P006,U04,GMS,102,553.43,422.11
2024-01-01,P005,U06,RHF,166,859.1,622.96
2024-01-01,P012,U01,GMS,181,872.03,608.01
2024-01-01,P003,U02,RHF,72,539.68,407.76
2024-01-01,P005,U04,GMS,211,1048.01,769.02
2024-01-01,P006,U05,Export,148,849.03,619.14
2024-01-01,P008,U08,GMS,119,440.56,287.53
2024-01-01,P007,U03,GMS,97,1171.56,889.21
2024-01-01,P012,U03,RHF,148,701.11,506.51
2024-01-01,P002,U07,GMS,123,511.02,394.65
2024-01-01,P004,U04,GMS,141,899.75,684.35
2024-01-01,P005,U05,GMS,121,603.98,436.72
2024-01-01,P007,U06,GMS,94,1046.89,893.32
2024-01-01,P004,U02,Industrie,124,736.66,588.89
2024-01-01,P003,U07,GMS,125,921.67,691.75
2024-01-01,P003,U02,RHF,113,843.65,657.02
2024-01-01,P010,U05,GMS,142,422.55,306.69
2024-01-01,P001,U06,GMS,151,980.14,800.05
2024-01-01,P005,U01,GMS,85,449.6,322.3
2024-01-01,P010,U01,GMS,170,542.51,377.09
2024-01-01,P002,U06,GMS,234,924.93,764.86
2024-01-01,P009,U01,GMS,153,675.8,466.74
2024-01-01,P003,U05,GMS,191,1329.59,1051.01
2024-01-01,P007,U02,GMS,118,1425.22,1117.46
2024-01-01,P006,U01,Export,187,1052.77,759.58
2024-01-01,P012,U05,RHF,241,1131.91,854.42
2024-01-01,P003,U02,Industrie,159,1163.55,884.2
2024-01-01,P011,U02,GMS,119,281.97,214.3
2024-01-01,P007,U01,RHF,148,1767.36,1384.33
2024-01-01,P003,U06,Export,121,926.17,663.03
2024-01-02,P009,U02,GMS,83,370.76,244.28
2024-01-02,P008,U05,GMS,123,433.78,309.58
2024-01-02,P011,U07,GMS,171,377.65,295.08
2024-01-02,P008,U01,GMS,207,774.16,512.2
2024-01-02,P004,U04,GMS,101,610.72,468.99
2024-01-02,P005,U02,RHF,78,418.44,275.5
2024-01-02,P006,U01,GMS,125,694.26,527.7
2024-01-02,P003,U05,GMS,108,839.89,616.88
